Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien,adresse_complete,longitude,latitude
1,Agence Genas,AF259053,Portail,Non,1 AVENUE GASTON MONMOUSSEAU ,VAULX EN VELIN,21,SNEF - Marché Orange Bron Fermeture,Romain RICORDEAU ,"1 AVENUE GASTON MONMOUSSEAU , VAULX EN VELIN, France",4.91395,45.777509
1,Agence Genas,AF259054,Porte de garage,Non,2 RUE RENAN,LYON,21,LE PRADO,Romain RICORDEAU ,"2 RUE RENAN, LYON, France",4.8412377,45.7489933
1,Agence Genas,AF259059,Ascenseur,Non,73 BIS RUE PASTEUR,CALUIRE ET CUIRE,47,JADE,Nefis ALIOUCHE,"73 BIS RUE PASTEUR, CALUIRE ET CUIRE, France",4.8428234,45.7912949
1,Agence Genas,AF259060,Ascenseur,Non,73 TER RUE PASTEUR,CALUIRE ET CUIRE,47,JADE,Nefis ALIOUCHE,"73 TER RUE PASTEUR, CALUIRE ET CUIRE, France",4.8428943,45.7913531
1,Agence Genas,HC259068,Porte automatique,Non,92 AVENUE FELIX FAURE ,LYON,21,MMA FELIX FAURE,Romain RICORDEAU ,"92 AVENUE FELIX FAURE , LYON, France",4.8577421,45.7533736
1,Agence Genas,AF259069,Porte de garage,Non,2 Rue des IRIS,BRON,21,Résidence le THEODORE ,Romain RICORDEAU ,"2 Rue des IRIS, BRON, France",4.8978665,45.7368897
1,Agence Genas,AF259075,Ascenseur,Non,6 Rue Georges Lyvet ,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"6 Rue Georges Lyvet , VENISSIEUX, France",4.8686441,45.6994166
1,Agence Genas,AF259076,Ascenseur,Non,8 Rue Georges Lyvet ,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"8 Rue Georges Lyvet , VENISSIEUX, France",4.8688476,45.6992484
1,Agence Genas,AF259077,Ascenseur,Non,10 Rue Georges Lyvet ,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"10 Rue Georges Lyvet , VENISSIEUX, France",4.8690892,45.6990562
1,Agence Genas,AF259078,Ascenseur,Non,12 Rue Georges Lyvet ,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"12 Rue Georges Lyvet , VENISSIEUX, France",4.8693028,45.6988832
1,Agence Genas,AF259079,Ascenseur,Non,14 Rue Georges Lyvet ,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"14 Rue Georges Lyvet , VENISSIEUX, France",4.8698918,45.6985615
1,Agence Genas,AF259080,Ascenseur,Non,16 Rue Georges Lyvet ,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"16 Rue Georges Lyvet , VENISSIEUX, France",4.8701688,45.6983412
